File,Total Genes,Annotated,Predominant GO Biological Process,Predominant Gene Function,Physiological Summary
rank_55_comp24.csv,46,20,"B cell apoptotic process [GO:0001783], cell migration [GO:0016477], positive regulation of cell population proliferation [GO:0008284]","Bcl-2 homologous antagonist/killer, Leucine-rich repeat serine/threonine-protein kinase 1, Macrophage-stimulating protein receptor",Genes involved in signal transduction and development and differentiation
rank_55_comp24_top100.csv,100,32,"positive regulation of transcription by RNA polymerase II [GO:0045944], proteolysis [GO:0006508], positive regulation of DNA-templated transcription [GO:0045893]","Early growth response protein 1, Uromodulin [Cleaved into: Uromodulin, secreted form], Heat shock factor protein 1",Genes involved in development and differentiation and signal transduction
rank_55_comp25_top100.csv,100,35,"proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944], defense response to Gram-negative bacterium [GO:0050829]","Glutamate carboxypeptidase 2, Lactotransferrin, Early growth response protein 1",Genes involved in development and differentiation and signal transduction
rank_55_comp26_top100.csv,100,30,"positive regulation of gene expression [GO:0010628], proteolysis [GO:0006508], homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]","Hemicentin-1, Proto-oncogene tyrosine-protein kinase receptor Ret, Heat shock factor protein 1",Genes involved in development and differentiation and signal transduction
rank_55_comp27_top100.csv,100,30,"proteolysis [GO:0006508], positive regulation of gene expression [GO:0010628], positive regulation of transcription by RNA polymerase II [GO:0045944]","Lactotransferrin, Heat shock factor protein 1, Ovochymase-1",Genes involved in development and differentiation and signal transduction
rank_55_comp28_top100.csv,100,23,"proteolysis [GO:0006508], positive regulation of gene expression [GO:0010628], positive regulation of transcription by RNA polymerase II [GO:0045944]","Carbonic anhydrase 2, Heat shock factor protein 1, Ovochymase-1",Genes involved in development and differentiation and signal transduction
rank_55_comp29_top100.csv,100,32,"cell surface receptor signaling pathway [GO:0007166], positive regulation of transcription by RNA polymerase II [GO:0045944], DNA repair [GO:0006281]","Transient receptor potential cation channel subfamily A member 1, Fibrocystin-L, Ovochymase-1",Genes involved in development and differentiation and signal transduction
rank_55_comp2_top100.csv,100,22,"proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944], negative regulation of apoptotic process [GO:0043066]","Heat shock factor protein 1, Matrix metalloproteinase-25, Fibrocystin-L",Genes involved in development and differentiation and intracellular transport
rank_55_comp30_top100.csv,101,29,"positive regulation of transcription by RNA polymerase II [GO:0045944], negative regulation of transcription by RNA polymerase II [GO:0000122], positive regulation of DNA-templated transcription [GO:0045893]","Heat shock factor protein 1, Early growth response protein 1, Ovochymase-1",Genes involved in development and differentiation and signal transduction
rank_55_comp31_top100.csv,100,32,"proteolysis [GO:0006508], positive regulation of gene expression [GO:0010628], positive regulation of transcription by RNA polymerase II [GO:0045944]","Matrix metalloproteinase-25, Heat shock factor protein 1, Hemicentin-1",Genes involved in development and differentiation and signal transduction
rank_55_comp32_top100.csv,100,29,"proteolysis [GO:0006508], regulation of transcription by RNA polymerase II [GO:0006357], positive regulation of transcription by RNA polymerase II [GO:0045944]","Glutamate carboxypeptidase 2, Lactotransferrin, Early growth response protein 1",Genes involved in development and differentiation and signal transduction
rank_55_comp33_top100.csv,100,33,"proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944], positive regulation of gene expression [GO:0010628]","Matrix metalloproteinase-25, Lactotransferrin, Heat shock factor protein 1",Genes involved in development and differentiation and signal transduction
rank_55_comp34_top100.csv,101,29,"positive regulation of transcription by RNA polymerase II [GO:0045944], negative regulation of transcription by RNA polymerase II [GO:0000122], positive regulation of DNA-templated transcription [GO:0045893]","Heat shock factor protein 1, Major facilitator superfamily domain-containing protein 12, Golgi-associated plant pathogenesis-related protein 1",Genes involved in development and differentiation and signal transduction
rank_55_comp35_top100.csv,100,29,"proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944], positive regulation of gene expression [GO:0010628]","Glutamate carboxypeptidase 2, Heat shock factor protein 1, Lactotransferrin",Genes involved in development and differentiation and signal transduction
rank_55_comp36_top100.csv,100,26,"cellular response to heat [GO:0034605], positive regulation of DNA-templated transcription [GO:0045893], antibacterial humoral response [GO:0019731]","Lactotransferrin, Fibrocystin-L, Carbonic anhydrase 2",Genes involved in development and differentiation and metabolic processes
rank_55_comp37_top100.csv,100,26,"mRNA processing [GO:0006397], positive regulation of transcription by RNA polymerase II [GO:0045944], cellular response to heat [GO:0034605]","Heat shock factor protein 1, Matrix metalloproteinase-25, Proto-oncogene tyrosine-protein kinase receptor Ret",Genes involved in development and differentiation and signal transduction
rank_55_comp38_top100.csv,100,26,"proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944], regulation of transcription by RNA polymerase II [GO:0006357]","Early growth response protein 1, Heat shock factor protein 1, Lactotransferrin",Genes involved in signal transduction and development and differentiation
rank_55_comp39_top100.csv,100,29,"positive regulation of transcription by RNA polymerase II [GO:0045944], regulation of transcription by RNA polymerase II [GO:0006357], negative regulation of transcription by RNA polymerase II [GO:0000122]","Lactotransferrin, E3 ubiquitin-protein ligase rnf213-alpha, Fibrocystin-L",Genes involved in development and differentiation and signal transduction
rank_55_comp3_top100.csv,100,21,"positive regulation of gene expression [GO:0010628], positive regulation of DNA-templated transcription [GO:0045893], proteolysis [GO:0006508]","Proto-oncogene tyrosine-protein kinase receptor Ret, Carbonic anhydrase 2, Lactotransferrin",Genes involved in development and differentiation and signal transduction
rank_55_comp4.csv,7,3,"adaptive thermogenesis [GO:1990845], diet induced thermogenesis [GO:0002024], endocytosis [GO:0006897]","Sortilin-related receptor, X-box-binding protein 1, Golgi apparatus protein 1",Genes involved in development and differentiation and signal transduction
rank_55_comp40_top100.csv,100,28,"proteolysis [GO:0006508], positive regulation of gene expression [GO:0010628], positive regulation of transcription by RNA polymerase II [GO:0045944]","Lactotransferrin, Proto-oncogene tyrosine-protein kinase receptor Ret, Heat shock factor protein 1",Genes involved in development and differentiation and signal transduction
rank_55_comp41_top100.csv,100,28,"positive regulation of transcription by RNA polymerase II [GO:0045944], positive regulation of gene expression [GO:0010628], positive regulation of DNA-templated transcription [GO:0045893]","Glutamate carboxypeptidase 2, Heat shock factor protein 1, Early growth response protein 1",Genes involved in development and differentiation and signal transduction
rank_55_comp42.csv,64,34,"positive regulation of cell population proliferation [GO:0008284], actin cytoskeleton organization [GO:0030036], negative regulation of apoptotic process [GO:0043066]","SH3 and multiple ankyrin repeat domains protein 2, Tight junction protein ZO-1, Carnitine O-palmitoyltransferase 1, liver isoform",Genes involved in development and differentiation and intracellular transport
rank_55_comp42_top100.csv,100,30,"proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944], positive regulation of gene expression [GO:0010628]","Matrix metalloproteinase-25, Fibrocystin-L, Heat shock factor protein 1",Genes involved in development and differentiation and signal transduction
rank_55_comp43_top100.csv,100,29,"proteolysis [GO:0006508], positive regulation of DNA-templated transcription [GO:0045893], positive regulation of ERK1 and ERK2 cascade [GO:0070374]","Matrix metalloproteinase-25, Fibrocystin-L, Carbonic anhydrase 2",Genes involved in development and differentiation and signal transduction
rank_55_comp44.csv,6,1,N/A,Ankyrin repeat domain-containing protein 55,Unannotated genes
rank_55_comp44_top100.csv,101,35,"proteolysis [GO:0006508], mRNA processing [GO:0006397], negative regulation of transcription by RNA polymerase II [GO:0000122]","Heat shock factor protein 1, Fibrocystin-L, RNA-binding protein 24",Genes involved in development and differentiation and signal transduction
rank_55_comp45_top100.csv,100,28,"proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944], mRNA processing [GO:0006397]","Matrix metalloproteinase-25, Heat shock factor protein 1, Kruppel-like factor 1",Genes involved in development and differentiation and signal transduction
rank_55_comp46_top100.csv,100,28,"proteolysis [GO:0006508], defense response to Gram-negative bacterium [GO:0050829], ossification [GO:0001503]","Lactotransferrin, Glutamate carboxypeptidase 2, Uromodulin [Cleaved into: Uromodulin, secreted form]",Genes involved in development and differentiation and intracellular transport
rank_55_comp47.csv,9,6,"cell division [GO:0051301], mitotic chromosome condensation [GO:0007076], positive regulation of chromosome condensation [GO:1905821]","Condensin complex subunit 3, GMP synthase [glutamine-hydrolyzing], Junctophilin-3",Genes involved in signal transduction and metabolic processes
rank_55_comp47_top100.csv,100,26,"proteolysis [GO:0006508], negative regulation of apoptotic process [GO:0043066], ossification [GO:0001503]","Lactotransferrin, Heat shock factor protein 1, Early growth response protein 1",Genes involved in development and differentiation and metabolic processes
rank_55_comp48_top100.csv,100,28,"mRNA processing [GO:0006397], positive regulation of gene expression [GO:0010628], proteolysis [GO:0006508]","Heat shock factor protein 1, Fibrocystin-L, Carbonic anhydrase 2",Genes involved in development and differentiation and metabolic processes
rank_55_comp49_top100.csv,101,28,"protein stabilization [GO:0050821], DNA repair [GO:0006281], negative regulation of transcription by RNA polymerase II [GO:0000122]","Ovochymase-1, Heat shock protein HSP 90-beta, Heat shock factor protein 1",Genes involved in development and differentiation and intracellular transport
rank_55_comp4_top100.csv,100,26,"positive regulation of gene expression [GO:0010628], positive regulation of transcription by RNA polymerase II [GO:0045944], positive regulation of DNA-templated transcription [GO:0045893]","Proto-oncogene tyrosine-protein kinase receptor Ret, Heat shock factor protein 1, Matrix metalloproteinase-25",Genes involved in development and differentiation and signal transduction
rank_55_comp5.csv,1,0,N/A,N/A,Unannotated genes
rank_55_comp50_top100.csv,100,29,"proteolysis [GO:0006508], positive regulation of gene expression [GO:0010628], negative regulation of apoptotic process [GO:0043066]","Heat shock factor protein 1, Fibrocystin-L, Matrix metalloproteinase-25",Genes involved in development and differentiation and signal transduction
rank_55_comp51.csv,2,1,proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161],Glucose-induced degradation protein 4 homolog,Genes involved in metabolic processes and protein processing and degradation
rank_55_comp51_top100.csv,100,23,"cellular response to heat [GO:0034605], positive regulation of transcription by RNA polymerase II [GO:0045944], response to lipopolysaccharide [GO:0032496]","Heat shock factor protein 1, Hemicentin-1, Major facilitator superfamily domain-containing protein 12",Genes involved in development and differentiation and signal transduction
rank_55_comp52_top100.csv,100,26,"positive regulation of transcription by RNA polymerase II [GO:0045944], positive regulation of DNA-templated transcription [GO:0045893], cellular response to heat [GO:0034605]","Proto-oncogene tyrosine-protein kinase receptor Ret, Heat shock factor protein 1, Fibrocystin-L",Genes involved in development and differentiation and signal transduction
rank_55_comp53.csv,29,12,"protein maturation [GO:0051604], gastrulation [GO:0007369], negative regulation of Wnt signaling pathway [GO:0030178]","E3 ubiquitin-protein ligase MYLIP-A, ERO1-like protein beta, Pleckstrin homology domain-containing family A member 8",Genes involved in development and differentiation and intracellular transport
rank_55_comp53_top100.csv,100,23,"positive regulation of transcription by RNA polymerase II [GO:0045944], proteolysis [GO:0006508], response to lipopolysaccharide [GO:0032496]","Fibrocystin-L, Ovochymase-1, Transient receptor potential cation channel subfamily A member 1",Genes involved in development and differentiation and signal transduction
rank_55_comp54.csv,6,1,"'de novo' AMP biosynthetic process [GO:0044208], 'de novo' IMP biosynthetic process [GO:0006189], 'de novo' XMP biosynthetic process [GO:0097294]",Amidophosphoribosyltransferase,Genes primarily involved in metabolic processes
rank_55_comp54_top100.csv,100,28,"proteolysis [GO:0006508], Wnt signaling pathway [GO:0016055], homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]","Fibrocystin-L, Proto-oncogene tyrosine-protein kinase receptor Ret, RNA-binding protein 24",Genes involved in development and differentiation and signal transduction
rank_55_comp55.csv,2,0,N/A,N/A,Unannotated genes
rank_55_comp55_top100.csv,100,25,"proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944], positive regulation of gene expression [GO:0010628]","Heat shock factor protein 1, Carbonic anhydrase 2, Fibrocystin-L",Genes involved in development and differentiation and signal transduction
rank_55_comp5_top100.csv,100,31,"proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944], cell population proliferation [GO:0008283]","Glutamate carboxypeptidase 2, Carbonic anhydrase 2, Fibrocystin-L",Genes involved in development and differentiation and metabolic processes
rank_55_comp6_top100.csv,100,27,"positive regulation of transcription by RNA polymerase II [GO:0045944], regulation of transcription by RNA polymerase II [GO:0006357], positive regulation of gene expression [GO:0010628]","Early growth response protein 1, Lactotransferrin, Carbonic anhydrase 2",Genes involved in development and differentiation and metabolic processes
rank_55_comp7_top100.csv,100,31,"positive regulation of DNA-templated transcription [GO:0045893], positive regulation of transcription by RNA polymerase II [GO:0045944], positive regulation of gene expression [GO:0010628]","Proto-oncogene tyrosine-protein kinase receptor Ret, Early growth response protein 1, Uromodulin [Cleaved into: Uromodulin, secreted form]",Genes involved in development and differentiation and signal transduction
rank_55_comp8_top100.csv,100,30,"positive regulation of transcription by RNA polymerase II [GO:0045944], proteolysis [GO:0006508], positive regulation of DNA-templated transcription [GO:0045893]","Heat shock factor protein 1, Kruppel-like factor 1, Lactotransferrin",Genes involved in development and differentiation and signal transduction
rank_55_comp9.csv,1,0,N/A,N/A,Unannotated genes
rank_55_comp9_top100.csv,100,24,"proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944], positive regulation of gene expression [GO:0010628]","Ovochymase-1, Heat shock factor protein 1, Fibroblast growth factor 10",Genes involved in development and differentiation and signal transduction
rank_65_comp10_top100.csv,100,30,"proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944], ossification [GO:0001503]","Lactotransferrin, Ovochymase-1, Glutamate carboxypeptidase 2",Genes involved in development and differentiation and signal transduction
rank_65_comp11_top100.csv,100,27,"proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944], regulation of transcription by RNA polymerase II [GO:0006357]","Lactotransferrin, Ovochymase-1, Early growth response protein 1",Genes involved in development and differentiation and signal transduction
rank_65_comp12_top100.csv,100,26,"proteolysis [GO:0006508], ossification [GO:0001503], positive regulation of osteoblast differentiation [GO:0045669]","Lactotransferrin, High affinity copper uptake protein 1, Uromodulin [Cleaved into: Uromodulin, secreted form]",Genes involved in development and differentiation and intracellular transport
rank_65_comp13_top100.csv,100,24,"proteolysis [GO:0006508], cellular response to heat [GO:0034605], mRNA processing [GO:0006397]","Lactotransferrin, Ovochymase-1, Glutamate carboxypeptidase 2",Genes involved in development and differentiation and metabolic processes
rank_65_comp14_top100.csv,100,23,"proteolysis [GO:0006508], ossification [GO:0001503], positive regulation of transcription by RNA polymerase II [GO:0045944]","Lactotransferrin, Glutamate carboxypeptidase 2, GDP-D-glycero-alpha-D-manno-heptose dehydrogenase",Genes involved in development and differentiation and signal transduction
rank_65_comp15_top100.csv,100,28,"proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944], ossification [GO:0001503]","Lactotransferrin, Ovochymase-1, Glutamate carboxypeptidase 2",Genes involved in development and differentiation and signal transduction
rank_65_comp16_top100.csv,100,26,"proteolysis [GO:0006508], positive regulation of osteoblast differentiation [GO:0045669], antibacterial humoral response [GO:0019731]","Lactotransferrin, Glutamate carboxypeptidase 2, Stearoyl-CoA desaturase 5",Genes involved in development and differentiation and signal transduction
rank_65_comp17_top100.csv,100,27,"proteolysis [GO:0006508], angiogenesis [GO:0001525], protein complex oligomerization [GO:0051259]","Heat shock protein HSP 90-beta, RNA-binding protein 24, Uromodulin [Cleaved into: Uromodulin, secreted form]",Genes involved in development and differentiation and signal transduction
rank_65_comp18_top100.csv,100,36,"proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944], regulation of transcription by RNA polymerase II [GO:0006357]","Lactotransferrin, Ovochymase-1, Glutamate carboxypeptidase 2",Genes involved in development and differentiation and signal transduction
rank_65_comp19_top100.csv,100,29,"proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944], positive regulation of gene expression [GO:0010628]","Lactotransferrin, Heat shock protein HSP 90-beta, Early growth response protein 1",Genes involved in development and differentiation and signal transduction
rank_65_comp1_top100.csv,100,29,"proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944], response to lipopolysaccharide [GO:0032496]","Ovochymase-1, Lactotransferrin, Heat shock protein HSP 90-beta",Genes involved in development and differentiation and signal transduction
rank_65_comp20_top100.csv,100,26,"proteolysis [GO:0006508], positive regulation of DNA-templated transcription [GO:0045893], positive regulation of transcription by RNA polymerase II [GO:0045944]","Ovochymase-1, Early growth response protein 1, Uromodulin [Cleaved into: Uromodulin, secreted form]",Genes involved in development and differentiation and signal transduction
rank_65_comp21.csv,3,3,"cilium assembly [GO:0060271], cell division [GO:0051301], microtubule cytoskeleton organization [GO:0000226]","Dual specificity protein phosphatase CDC14A, Dynein axonemal heavy chain 5, Serine/threonine-protein kinase SMG1",Genes involved in cilium assembly and function and cell division and proliferation
rank_65_comp21_top100.csv,100,31,"proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944], negative regulation of apoptotic process [GO:0043066]","Lactotransferrin, Ovochymase-1, Glutamate carboxypeptidase 2",Genes involved in development and differentiation and signal transduction
rank_65_comp22.csv,730,252,"proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944], negative regulation of transcription by RNA polymerase II [GO:0000122]","Hemicentin-1, Adhesion G-protein coupled receptor D1, Glutamate carboxypeptidase 2",Genes involved in development and differentiation and metabolic processes
rank_65_comp22_top100.csv,100,27,"proteolysis [GO:0006508], positive regulation of osteoblast differentiation [GO:0045669], protein complex oligomerization [GO:0051259]","Lactotransferrin, Ovochymase-1, Glutamate carboxypeptidase 2",Genes involved in development and differentiation and signal transduction
rank_65_comp23.csv,282,127,"negative regulation of transcription by RNA polymerase II [GO:0000122], protein transport [GO:0015031], cilium assembly [GO:0060271]","Kinesin-like protein KIF16B, Protein phosphatase 1 regulatory subunit 12A, Epidermal growth factor receptor substrate 15-like 1",Genes involved in development and differentiation and intracellular transport
rank_65_comp23_top100.csv,100,29,"proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944], mRNA processing [GO:0006397]","Ovochymase-1, Lactotransferrin, Heat shock protein HSP 90-beta",Genes involved in development and differentiation and signal transduction
rank_65_comp24_top100.csv,100,30,"proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944], regulation of transcription by RNA polymerase II [GO:0006357]","Lactotransferrin, Glutamate carboxypeptidase 2, Heat shock protein HSP 90-beta",Genes involved in development and differentiation and signal transduction
rank_65_comp25_top100.csv,100,31,"proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944], extracellular matrix organization [GO:0030198]","Lactotransferrin, Early growth response protein 1, Ovochymase-1",Genes involved in development and differentiation and signal transduction
rank_65_comp26_top100.csv,100,30,"proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944], positive regulation of DNA-templated transcription [GO:0045893]","Lactotransferrin, Ovochymase-1, Early growth response protein 1",Genes involved in development and differentiation and signal transduction
rank_65_comp27_top100.csv,100,35,"proteolysis [GO:0006508], Wnt signaling pathway [GO:0016055], positive regulation of transcription by RNA polymerase II [GO:0045944]","Lactotransferrin, Heat shock protein HSP 90-beta, Lupus La protein",Genes involved in development and differentiation and signal transduction
rank_65_comp28.csv,93,35,"positive regulation of transcription by RNA polymerase II [GO:0045944], DNA repair [GO:0006281], regulation of transcription by RNA polymerase II [GO:0006357]","GON-4-like protein, Centrosomal protein of 164 kDa, Homeobox protein BarH-like 2",Genes involved in gene expression regulation and development and differentiation
rank_65_comp28_top100.csv,100,27,"proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944], negative regulation of apoptotic process [GO:0043066]","Lactotransferrin, Heat shock protein HSP 90-beta, Uromodulin [Cleaved into: Uromodulin, secreted form]",Genes involved in development and differentiation and signal transduction
rank_65_comp29_top100.csv,100,28,"proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944], mRNA processing [GO:0006397]","Glutamate carboxypeptidase 2, Lactotransferrin, Heat shock protein HSP 90-beta",Genes involved in development and differentiation and signal transduction
rank_65_comp2_top100.csv,100,32,"positive regulation of transcription by RNA polymerase II [GO:0045944], regulation of transcription by RNA polymerase II [GO:0006357], proteolysis [GO:0006508]","Glutamate carboxypeptidase 2, Early growth response protein 1, Reversion-inducing cysteine-rich protein with Kazal motifs",Genes involved in development and differentiation and signal transduction
rank_65_comp30_top100.csv,100,27,"proteolysis [GO:0006508], mRNA processing [GO:0006397], protein complex oligomerization [GO:0051259]","Heat shock protein HSP 90-beta, Lactotransferrin, Ovochymase-1",Genes involved in development and differentiation and signal transduction
rank_65_comp31_top100.csv,100,31,"proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944], regulation of transcription by RNA polymerase II [GO:0006357]","Lactotransferrin, Glutamate carboxypeptidase 2, Poly",Genes involved in development and differentiation and signal transduction
rank_65_comp32_top100.csv,100,27,"positive regulation of DNA-templated transcription [GO:0045893], positive regulation of transcription by RNA polymerase II [GO:0045944], response to lipopolysaccharide [GO:0032496]","RNA-binding protein 24, Carbonic anhydrase 2, Heat shock protein HSP 90-beta",Genes involved in development and differentiation and signal transduction
rank_65_comp33_top100.csv,100,29,"proteolysis [GO:0006508], extracellular matrix organization [GO:0030198], positive regulation of transcription by RNA polymerase II [GO:0045944]","Ovochymase-1, Lactotransferrin, Glutamate carboxypeptidase 2",Genes involved in development and differentiation and signal transduction
rank_65_comp34.csv,2,0,N/A,N/A,Unannotated genes
rank_65_comp34_top100.csv,100,29,"proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944], mRNA processing [GO:0006397]","Lactotransferrin, Ovochymase-1, Heat shock factor protein 1",Genes involved in development and differentiation and signal transduction
rank_65_comp35_top100.csv,100,31,"regulation of transcription by RNA polymerase II [GO:0006357], positive regulation of transcription by RNA polymerase II [GO:0045944], proteolysis [GO:0006508]","Early growth response protein 1, Protein BTG2, Heat shock protein HSP 90-beta",Genes involved in development and differentiation and signal transduction
rank_65_comp36_top100.csv,100,35,"positive regulation of transcription by RNA polymerase II [GO:0045944], proteolysis [GO:0006508], regulation of transcription by RNA polymerase II [GO:0006357]","Lactotransferrin, Glutamate carboxypeptidase 2, Heat shock protein HSP 90-beta",Genes involved in development and differentiation and signal transduction
rank_65_comp37.csv,10,7,"chondrocyte differentiation [GO:0002062], negative regulation of gene expression [GO:0010629], negative regulation of transcription by RNA polymerase II [GO:0000122]","G-protein coupled receptor 161, Microtubule-actin cross-linking factor 1, isoforms 1/2/3/4, Myoferlin",Genes involved in development and differentiation and signal transduction
rank_65_comp37_top100.csv,100,27,"positive regulation of transcription by RNA polymerase II [GO:0045944], proteolysis [GO:0006508], positive regulation of gene expression [GO:0010628]","Lactotransferrin, Heat shock protein HSP 90-beta, Heat shock factor protein 1",Genes involved in development and differentiation and signal transduction
rank_65_comp38_top100.csv,100,29,"proteolysis [GO:0006508], mRNA processing [GO:0006397], negative regulation of apoptotic process [GO:0043066]","Ovochymase-1, Heat shock factor protein 1, Fermitin family homolog 2",Genes involved in development and differentiation and signal transduction
rank_65_comp39_top100.csv,100,25,"proteolysis [GO:0006508], Wnt signaling pathway [GO:0016055], positive regulation of transcription by RNA polymerase II [GO:0045944]","Ovochymase-1, Heat shock protein HSP 90-beta, Fermitin family homolog 2",Genes involved in development and differentiation and signal transduction
rank_65_comp3_top100.csv,100,24,"proteolysis [GO:0006508], negative regulation of apoptotic process [GO:0043066], actin cytoskeleton organization [GO:0030036]","Ovochymase-1, Hemicentin-1, Fermitin family homolog 2",Genes involved in development and differentiation and intracellular transport
rank_65_comp40_top100.csv,100,29,"proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944], mRNA processing [GO:0006397]","Heat shock factor protein 1, Heat shock protein HSP 90-beta, Ribosomal protein S6 kinase alpha-3",Genes involved in development and differentiation and signal transduction
rank_65_comp41.csv,2,0,N/A,N/A,Unannotated genes
rank_65_comp41_top100.csv,100,29,"proteolysis [GO:0006508], mRNA processing [GO:0006397], DNA repair [GO:0006281]","Lactotransferrin, Heat shock protein HSP 90-beta, Peptidyl-tRNA hydrolase 2, mitochondrial",Genes involved in development and differentiation and signal transduction
rank_65_comp42_top100.csv,100,26,"positive regulation of transcription by RNA polymerase II [GO:0045944], proteolysis [GO:0006508], response to lipopolysaccharide [GO:0032496]","Ovochymase-1, Forkhead box protein J1-B, RNA-binding protein 24",Genes involved in development and differentiation and signal transduction
rank_65_comp43.csv,40,18,"G protein-coupled receptor signaling pathway [GO:0007186], cilium movement [GO:0003341], cilium movement involved in cell motility [GO:0060294]","Adhesion G protein-coupled receptor L3, Mitogen-activated protein kinase kinase kinase 1, Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial",Genes involved in development and differentiation and signal transduction
rank_65_comp43_top100.csv,100,24,"positive regulation of transcription by RNA polymerase II [GO:0045944], mRNA processing [GO:0006397], response to lipopolysaccharide [GO:0032496]","Heat shock factor protein 1, Ribosomal protein S6 kinase alpha-3, RNA-binding protein 24",Genes involved in development and differentiation and signal transduction
rank_65_comp44_top100.csv,100,31,"proteolysis [GO:0006508], positive regulation of osteoblast differentiation [GO:0045669], extracellular matrix organization [GO:0030198]","Lactotransferrin, Uromodulin [Cleaved into: Uromodulin, secreted form], Glutamate carboxypeptidase 2",Genes involved in development and differentiation and metabolic processes
rank_65_comp45_top100.csv,100,28,"proteolysis [GO:0006508], positive regulation of osteoblast differentiation [GO:0045669], extracellular matrix organization [GO:0030198]","Lactotransferrin, Glutamate carboxypeptidase 2, Ovochymase-1",Genes involved in development and differentiation and signal transduction
rank_65_comp46_top100.csv,100,31,"proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944], positive regulation of gene expression [GO:0010628]","Lactotransferrin, Glutamate carboxypeptidase 2, Ovochymase-1",Genes involved in development and differentiation and signal transduction
rank_65_comp47_top100.csv,100,28,"positive regulation of transcription by RNA polymerase II [GO:0045944], cell surface receptor signaling pathway [GO:0007166], proteolysis [GO:0006508]","RNA-binding protein 24, Ovochymase-1, Heat shock protein HSP 90-beta",Genes involved in development and differentiation and signal transduction
rank_65_comp48.csv,4,1,cilium movement involved in cell motility [GO:0060294],Dynein axonemal heavy chain 10,Genes primarily involved in cilium assembly and function
rank_65_comp48_top100.csv,100,25,"proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944], mRNA processing [GO:0006397]","Ovochymase-1, Lactotransferrin, Heat shock protein HSP 90-beta",Genes involved in development and differentiation and signal transduction
rank_65_comp49_top100.csv,100,30,"proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944], negative regulation of apoptotic process [GO:0043066]","Lactotransferrin, Uromodulin [Cleaved into: Uromodulin, secreted form], Glutamate carboxypeptidase 2",Genes involved in development and differentiation and signal transduction
rank_65_comp4_top100.csv,100,27,"proteolysis [GO:0006508], positive regulation of osteoblast differentiation [GO:0045669], mRNA processing [GO:0006397]","Lactotransferrin, Heat shock protein HSP 90-beta, Lupus La protein",Genes involved in development and differentiation and signal transduction
rank_65_comp50_top100.csv,100,31,"proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944], mRNA processing [GO:0006397]","Lactotransferrin, Ovochymase-1, Heat shock protein HSP 90-beta",Genes involved in development and differentiation and signal transduction
rank_65_comp51_top100.csv,100,30,"proteolysis [GO:0006508], positive regulation of osteoblast differentiation [GO:0045669], positive regulation of transcription by RNA polymerase II [GO:0045944]","Lactotransferrin, Glutamate carboxypeptidase 2, Early growth response protein 1",Genes involved in development and differentiation and signal transduction
rank_65_comp52_top100.csv,100,25,"proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944], mRNA processing [GO:0006397]","Ovochymase-1, Lactotransferrin, Lupus La protein",Genes involved in development and differentiation and signal transduction
